| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.09           |
| 3     | 0.16           |
| 4     | 0.1            |
| 5     | 0.13           |
| 6     | 0.26           |
| 7     | 0.24           |
| 8     | 0.34           |
| 9     | 0.33           |
| 10    | 0.3            |
| 11    | 0.4            |
| 12    | 0.44           |
| 13    | 0.49           |
| 14    | 0.84           |
| 15    | 0.56           |
| 16    | 0.56           |
| 17    | 0.53           |
| 18    | 0.56           |
| 19    | 0.53           |
| 20+   | 0.11           |
| 20–29 | 0.17           |
| 30–39 | 0.18           |
| 40–49 | 0.22           |
| 50–59 | 0.23           |
| 60–69 | 0.18           |
| 70–79 | 0.21           |
| 80+   | 0.22           |
