| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.13           |
| 3     | 0.14           |
| 4     | 0.21           |
| 5     | 0.17           |
| 6     | 0.32           |
| 7     | 0.35           |
| 8     | 0.42           |
| 9     | 0.47           |
| 10    | 0.46           |
| 11    | 0.45           |
| 12    | 0.57           |
| 13    | 0.63           |
| 14    | 0.59           |
| 15    | 0.53           |
| 16    | 0.72           |
| 17    | 0.66           |
| 18    | 0.74           |
| 19    | 0.89           |
| 20+   | 0.14           |
| 20–29 | 0.2            |
| 30–39 | 0.24           |
| 40–49 | 0.27           |
| 50–59 | 0.31           |
| 60–69 | 0.27           |
| 70–79 | 0.28           |
| 80+   | 0.26           |
