Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,16.4,0.25,11.8
"2–11 months",1620,43.7,0.94,45.4
"1–2 years",2310,23,0.53,20.7
"3–5 years",2941,20.9,0.42,18.6
"6–11 years",3134,21.6,0.46,19.5
"12–15 years",1599,19.6,0.96,15.5
"16–19 years",1522,18,0.88,12.4
"20–29 years",3400,14.9,0.53,9
"30–39 years",3238,14.5,0.57,9.1
"40–49 years",2503,13.7,0.58,8.7
"50–59 years",1799,13.7,0.46,9
"60–69 years",2208,14.7,0.53,10.5
"70–79 years",1678,14.5,0.45,11.2
"80 years and over",1153,15.2,0.47,12
