Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,18.7,0.35,13.4
"2–11 months",815,45.1,1.44,45.6
"1–2 years",1171,23.8,0.7,21.4
"3–5 years",1424,21.8,0.67,19.5
"6–11 years",1581,24.1,0.85,21.6
"12–15 years",751,22.3,1.13,19.4
"16–19 years",711,21.5,1.57,14.9
"20–29 years",1587,16.9,0.8,11.2
"30–39 years",1424,16.5,1.07,9.7
"40–49 years",1188,16.2,1.09,10.7
"50–59 years",820,16.4,0.84,10.7
"60–69 years",1111,16.4,0.72,11.6
"70–79 years",783,16.7,0.6,12.3
"80 years and over",557,16.2,0.75,12.7
