Age,"Sample size"
"3–5 months",290
"6–8 months",320
"9–11 months",275
"1 year",647
"2 years",555
"3 years",479
"4 years",538
"5 years",493
"6 years",278
"7 years",268
"8 years",262
"9 years",276
"10 years",293
"11 years",282
"12 years",200
"13 years",182
"14 years",183
"15 years",182
"16 years",191
"17 years",191
"18 years",168
"19 years",160
"20 years and older",7540
"20–29 years",1556
"30–39 years",1419
"40–49 years",1164
"50–59 years",813
"60–69 years",1122
"70–79 years",825
"80 years and older",641
