"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",4052,100,204.5
"Sudden infant death syndrome",915,22.6,46.2
"Congenital malformations, deformations and chromosomal abnormalities",797,19.7,40.2
"Accidents (unintentional injuries)",336,8.3,17
"Diseases of the circulatory system",199,4.9,10
Septicemia,135,3.3,6.8
"Assault (homicide)",122,3,6.2
"Influenza and pneumonia",113,2.8,5.7
"Chronic respiratory disease originating in the perinatal period",109,2.7,5.5
"Gastritis, duodenitis, and noninfective enteritis and colitis",104,2.6,5.2
"Disorders related to short gestation and low birth weight, not elsewhere classified",43,1.1,2.2
"All other causes",1179,29.1,59.5
