| Age          | Rate |
| ------------ | ---- |
| All ages     | 0.2  |
| Under 1 year | \*   |
| 1-4          | \*   |
| 5-9          | \*   |
| 10-14        | \*   |
| 15-19        | 0.3  |
| 20-24        | 0.5  |
| 25-29        | 0.5  |
| 30-34        | 0.3  |
| 35-39        | 0.3  |
| 40-44        | 0.2  |
| 45-49        | 0.3  |
| 50-54        | \*   |
| 55-59        | \*   |
| 60-64        | \*   |
| 65-69        | \*   |
| 70-74        | \*   |
| 75-79        | \*   |
| 80-84        | \*   |
| 85+          | \*   |
| Age-adjusted | 0.2  |
