"Cause of death (male, 5–9 years)",Number,"Percent of total deaths","Death rate"
"All causes",1290,100,12.5
"Accidents (unintentional injuries)",417,32.3,4
"Malignant neoplasms",193,15,1.9
"Congenital malformations, deformations and chromosomal abnormalities",106,8.2,1
"Assault (homicide)",97,7.5,0.9
"Chronic lower respiratory diseases",46,3.6,0.4
"Diseases of heart",43,3.3,0.4
"Influenza and pneumonia",24,1.9,0.2
"Cerebrovascular diseases",20,1.6,0.2
Septicemia,14,1.1,*
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",12,0.9,*
"All other causes",318,24.7,3.1
