Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",91347,100,7298.2
"Circulatory system",13357,14.6,1067.2
"Nervous system",13127,14.4,1048.8
"Respiratory system",13009,14.2,1039.4
"Genitourinary system",8366,9.2,668.4
Infectious,8246,9,658.8
"Consumption (Tuberculosis)",8076,8.8,645.2
Cancer,7398,8.1,591.1
"Digestive system",6510,7.1,520.1
"Accidents and injuries",4025,4.4,321.6
Skin,221,0.2,17.7
"Bones and joints",190,0.2,15.2
"Absorbent system",98,0.1,7.8
"Affections connected with pregnancy",13,0,1
"Other causes",8711,9.5,696
