"Cause of death (both sexes, 1–4 years)",Number
"All causes",3676
"Accidents (unintentional injuries)",1149
"Congenital malformations, deformations and chromosomal abnormalities",416
"Malignant neoplasms",285
"Assault (homicide)",284
"Diseases of heart",133
"Influenza and pneumonia",122
"Certain conditions originating in the perinatal period",57
Septicemia,53
"Cerebrovascular diseases",52
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",49
"All other causes",1076
