"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",3253,100,16.4
"Accidents (unintentional injuries)",1391,42.8,7
"Malignant neoplasms",489,15,2.5
"Congenital malformations, deformations and chromosomal abnormalities",198,6.1,1
"Assault (homicide)",140,4.3,0.7
"Diseases of heart",106,3.3,0.5
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior.",62,1.9,0.3
"Chronic lower respiratory diseases",48,1.5,0.2
"Influenza and pneumonia",47,1.4,0.2
Septicemia,38,1.2,0.2
"Cerebrovascular diseases",25,0.8,0.1
"Certain conditions originating in the perinatal period",25,0.8,0.1
"All other causes",684,21,3.5
