"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",1403,100,14.5
"Accidents (unintentional injuries)",567,40.4,5.9
"Malignant neoplasms",220,15.7,2.3
"Congenital malformations, deformations and chromosomal abnormalities",93,6.6,1
"Assault (homicide)",63,4.5,0.7
"Diseases of heart",42,3,0.4
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",30,2.1,0.3
"Chronic lower respiratory diseases",22,1.6,0.2
"Influenza and pneumonia",20,1.4,0.2
Septicemia,14,1,*
"Cerebrovascular diseases",13,0.9,*
"All other causes",319,22.7,3.3
