"Cause of death (both sexes, Infants)",Number,"Percent of total deaths","Death rate"
"All causes",20921,100,558.3
"Congenital malformations, deformations and chromosomal abnormalities",4301,20.6,114.8
"Disorders related to short gestation and low birth weight, not elsewhere classified",3445,16.5,91.9
"Accidents (unintentional injuries)",1266,6.1,33.8
"Sudden infant death syndrome",1248,6,33.3
"Newborn affected by maternal complications of pregnancy",1245,6,33.2
"Newborn affected by complications of placenta, cord and membranes",742,3.5,19.8
"Bacterial sepsis of newborn",603,2.9,16.1
"Respiratory distress of newborn",424,2,11.3
"Diseases of the circulatory system.",406,1.9,10.8
"Necrotizing enterocolitis of newborn",354,1.7,9.4
"All other causes",6887,32.9,183.8
