"Cause of death (both sexes, 85 years and over)",Number,"Percent of total deaths","Death rate"
"All causes",873746,100,13228.6
"Diseases of heart",250875,28.7,3798.3
"Malignant neoplasms",103761,11.9,1571
"Alzheimer disease",78688,9,1191.3
"Cerebrovascular diseases",64550,7.4,977.3
"Chronic lower respiratory diseases",43217,4.9,654.3
"Accidents (unintentional injuries)",24926,2.9,377.4
"Influenza and pneumonia",19464,2.2,294.7
"Diabetes mellitus",17143,2,259.5
"Nephritis, nephrotic syndrome and nephrosis",16572,1.9,250.9
"Essential hypertension and hypertensive renal disease",15001,1.7,227.1
"All other causes",239549,27.4,3626.8
