"Cause of death (both sexes, 65 years and over)",Number,"Percent of total deaths","Death rate"
"All causes",2117332,100,3916.8
"Diseases of heart",531583,25.1,983.4
"Malignant neoplasms",435462,20.6,805.5
"Chronic lower respiratory diseases",133246,6.3,246.5
"Cerebrovascular diseases",129193,6.1,239
"Alzheimer disease",120090,5.7,222.1
"Diabetes mellitus",62397,2.9,115.4
"Accidents (unintentional injuries)",60527,2.9,112
"Nephritis, nephrotic syndrome and nephrosis",42230,2,78.1
"Influenza and pneumonia",40399,1.9,74.7
"Parkinson disease",34435,1.6,63.7
"All other causes",527770,24.9,976.3
