Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"8–11 years",1421,0.866,0.105,0.699,0.732,0.754,0.792,0.866,0.933,0.969,1.003,1.044
"12–15 years",2264,1.099,0.147,0.87,0.909,0.942,0.993,1.093,1.196,1.257,1.291,1.342
"16–19 years",2309,1.293,0.136,1.08,1.121,1.156,1.199,1.289,1.379,1.43,1.464,1.517
"20–29 years",1530,1.336,0.139,1.125,1.164,1.198,1.24,1.328,1.416,1.477,1.517,1.578
"30–39 years",1450,1.325,0.134,1.127,1.162,1.189,1.231,1.311,1.407,1.466,1.505,1.568
"40–49 years",1549,1.316,0.125,1.119,1.167,1.189,1.232,1.319,1.392,1.436,1.467,1.524
"50–59 years",1187,1.293,0.133,1.075,1.127,1.162,1.204,1.289,1.372,1.42,1.467,1.514
"60–69 years",1350,1.279,0.136,1.068,1.112,1.143,1.188,1.274,1.36,1.415,1.46,1.51
"70–79 years",825,1.235,0.134,1.026,1.069,1.094,1.145,1.234,1.318,1.368,1.407,1.467
"80 years and over",501,1.202,0.143,0.982,1.026,1.056,1.105,1.199,1.293,1.341,1.377,1.431
"20 years and over (age-adjusted)",8392,1.302,,,,,,,,,,
