Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",24500,100,1347.8
Infectious,7929,32.4,436.2
"Accidents and injuries",2726,11.1,150
"Respiratory system",2555,10.4,140.6
"Nervous system",2383,9.7,131.1
"Consumption (Tuberculosis)",2310,9.4,127.1
"Digestive system",1968,8,108.3
"Circulatory system",1378,5.6,75.8
"Genitourinary system",618,2.5,34
"Bones and joints",201,0.8,11.1
Cancer,65,0.3,3.6
Skin,45,0.2,2.5
"Affections connected with pregnancy",32,0.1,1.8
"Absorbent system",22,0.1,1.2
"Other causes",2268,9.3,124.8
