Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",51004,100,2667.5
"Consumption (Tuberculosis)",16031,31.4,838.4
Infectious,9860,19.3,515.7
"Accidents and injuries",5302,10.4,277.3
"Respiratory system",5107,10,267.1
"Digestive system",2792,5.5,146
"Nervous system",2373,4.7,124.1
"Affections connected with pregnancy",2185,4.3,114.3
"Circulatory system",2009,3.9,105.1
"Genitourinary system",1767,3.5,92.4
Cancer,202,0.4,10.6
"Bones and joints",155,0.3,8.1
Skin,64,0.1,3.3
"Absorbent system",38,0.1,2
"Other causes",3119,6.1,163.1
