Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",1039094,100,5204.5
Infectious,209819,20.2,1050.9
"Respiratory system",154035,14.8,771.5
"Nervous system",117579,11.3,588.9
"Consumption (Tuberculosis)",109750,10.6,549.7
"Circulatory system",75791,7.3,379.6
"Digestive system",60229,5.8,301.7
"Accidents and injuries",57513,5.5,288.1
"Genitourinary system",48194,4.6,241.4
Cancer,29475,2.8,147.6
"Affections connected with pregnancy",9699,0.9,48.6
"Bones and joints",3021,0.3,15.1
Skin,2158,0.2,10.8
"Absorbent system",714,0.1,3.6
"Other causes",161117,15.5,807
