Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",211191,100,20906.7
"Nervous system",34052,16.1,3371
"Circulatory system",30086,14.2,2978.3
"Respiratory system",28358,13.4,2807.3
Infectious,20713,9.8,2050.5
"Genitourinary system",16579,7.9,1641.2
"Digestive system",10771,5.1,1066.3
Cancer,10188,4.8,1008.6
"Consumption (Tuberculosis)",7949,3.8,786.9
"Accidents and injuries",5576,2.6,552
Skin,408,0.2,40.4
"Bones and joints",286,0.1,28.3
"Absorbent system",92,0,9.1
"Affections connected with pregnancy",9,0,0.9
"Other causes",46124,21.8,4566
