Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",36748,100,1853.3
Infectious,15235,41.5,768.3
"Respiratory system",5553,15.1,280.1
"Nervous system",3820,10.4,192.7
"Accidents and injuries",3090,8.4,155.8
"Digestive system",2194,6,110.6
"Consumption (Tuberculosis)",1287,3.5,64.9
"Circulatory system",1184,3.2,59.7
"Genitourinary system",679,1.8,34.2
"Bones and joints",238,0.6,12
Cancer,66,0.2,3.3
Skin,52,0.1,2.6
"Absorbent system",28,0.1,1.4
"Other causes",3322,9,167.5
