Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",105263,100,14935.8
"Nervous system",17751,16.9,2518.7
"Circulatory system",16992,16.1,2411
"Respiratory system",15094,14.3,2141.7
Infectious,9938,9.4,1410.1
"Genitourinary system",9533,9.1,1352.6
Cancer,6492,6.2,921.1
"Digestive system",6468,6.1,917.7
"Consumption (Tuberculosis)",5589,5.3,793
"Accidents and injuries",2937,2.8,416.7
Skin,221,0.2,31.4
"Bones and joints",185,0.2,26.2
"Absorbent system",68,0.1,9.6
"Affections connected with pregnancy",4,0,0.6
"Other causes",13991,13.3,1985.2
