Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",290,10.5,0.22,*,7.9,8.3,9.2,10.7,11.7,12.5,13.2,*
"6–8 months",320,10.2,0.23,*,7.3,7.9,8.5,9.9,11.6,12.5,13.3,*
"9–11 months",275,9.5,0.2,*,7.1,7.4,8.1,9.2,10.7,11.1,11.8,*
"1 year",647,9.4,0.15,6.4,6.9,7.2,7.9,9.1,10.7,11.7,12.1,13.1
"2 years",555,9.1,0.13,6.4,6.7,7.3,7.9,8.9,10.4,11.1,11.5,12.4
"3 years",479,8.9,0.2,*,6.4,6.8,7.3,8.6,10,10.8,11.6,*
"4 years",538,9,0.18,6,6.6,6.8,7.3,8.6,10,11.4,12,12.9
"5 years",493,8.7,0.2,6,6.3,6.8,7.2,8.1,9.5,10.3,11.3,13
"6 years",278,9.8,0.46,*,6,6.4,7.1,8.5,10.8,12.9,14.9,*
"7 years",268,9.7,0.45,*,6.1,6.4,7.1,8.7,10.7,13.3,16.8,*
"8 years",262,10.8,0.59,*,6.3,6.4,7.3,8.8,12.3,15.7,20.1,*
"9 years",276,12.4,0.69,*,6.6,6.8,7.4,9.7,15.4,21.3,23.9,*
"10 years",293,12.5,0.63,*,6,6.9,8.2,10.4,15.5,20.8,22.3,*
"11 years",282,13.6,0.7,*,6.7,7.2,8.6,11.3,18.2,19.5,22.3,*
"12 years",200,13.5,0.77,*,*,7.6,8.6,12.9,17.4,19.2,*,*
"13 years",182,12.4,0.89,*,*,6.4,7.1,10.5,15.7,19.7,*,*
"14 years",183,11,0.82,*,*,6.2,6.7,8.3,13.4,17,*,*
"15 years",182,12.1,1,*,*,6,6.7,9.5,13.8,19.2,*,*
"16 years",191,11.1,0.86,*,*,6.6,7.1,8.6,13.6,17,*,*
"17 years",191,11.3,0.82,*,*,5.8,7.2,8.9,12.8,19.2,*,*
"18 years",168,10.9,0.9,*,*,5.7,6.3,8.3,12.6,16.8,*,*
"19 years",160,12.1,1.05,*,*,6.3,7.5,9.5,12.2,21.9,*,*
"20 years and older",7540,13.1,0.14,5.7,6.6,7.4,8.7,11.9,15.7,18.5,21.3,25.3
"20–29 years",1556,12,0.22,5.2,5.8,6.2,7.6,10.5,15.3,17.8,20,24.1
"30–39 years",1419,13,0.23,5.6,6.6,7.3,8.8,11.6,15.5,18.1,20.8,26.7
"40–49 years",1164,13.5,0.25,5.9,6.9,7.7,9.3,12.3,16.1,19.8,21.9,25
"50–59 years",813,13.7,0.29,6.6,7.5,8,9.4,12.6,16,18.7,21.8,25.2
"60–69 years",1122,14.2,0.25,6.9,7.7,8.5,10.1,12.7,17.1,20.2,23.1,25.6
"70–79 years",825,13.4,0.28,6.3,7.3,7.9,9,12.4,16,18.8,20.6,24.4
"80 years and older",641,12,0.28,5.4,6.6,7.6,8.7,11.2,13.8,16.2,18,22.3
