Age,"Sample size",Mean,"Standard error",5th,10th,15th,25th,50th,75th,85th,90th,95th
"3–5 months",309,10.4,0.21,*,7.9,8.2,8.7,10.3,11.8,12.3,12.6,*
"6–8 months",261,9.9,0.28,*,*,7.6,8.2,9.4,11.3,12.2,*,*
"9–11 months",316,9.6,0.24,*,7.1,7.4,8,9.2,10.9,11.9,12.7,*
"1 year",626,9.7,0.16,6.5,7.1,7.4,8.1,9.6,11,11.9,12.4,13.5
"2 years",545,9.5,0.17,*,7.1,7.4,7.9,9.2,10.9,11.6,12.3,*
"3 years",554,9.7,0.21,*,7.1,7.4,8.1,9.1,10.9,11.6,12.4,*
"4 years",529,10.3,0.29,*,7.3,7.7,8.4,9.6,11.6,12.8,13.4,*
"5 years",554,10.3,0.27,*,7.3,7.6,8.2,9.6,11.4,12.8,14.4,*
"6 years",273,10.3,0.48,*,*,7.1,7.5,9.3,11.1,13.6,*,*
"7 years",269,11.9,0.59,*,*,7.4,7.9,10.6,14.5,18,*,*
"8 years",244,12.4,0.64,*,*,7.8,8.5,10.7,14.2,17.6,*,*
"9 years",270,14.4,0.84,*,*,8.2,8.9,12.1,16.5,23.9,*,*
"10 years",255,15,0.81,*,*,8.7,10.1,12.9,18.1,21.7,*,*
"11 years",268,15.1,0.78,*,*,8.9,9.9,12.9,19.8,21.2,*,*
"12 years",233,15.2,0.9,*,*,8.2,9.6,13.2,19.4,23.4,*,*
"13 years",218,17.5,0.89,*,*,10.4,11.7,15.9,22.3,24.4,*,*
"14 years",216,18.7,0.9,*,*,11.6,12.4,17.5,22.5,25.4,*,*
"15 years",188,17.8,0.98,*,*,11.1,12.4,16.7,20.7,25.7,*,*
"16 years",202,18.6,0.89,*,*,12,14,16.8,21.8,25.4,*,*
"17 years",191,20,0.98,*,*,12.4,14.2,19.6,24.8,27.3,*,*
"18 years",165,19.4,1.07,*,*,*,13.8,17.9,24.2,*,*,*
"19 years",167,19.6,1.18,*,*,*,14,18.5,24.1,*,*,*
"20 years and older",8065,23.5,0.19,10.8,12.7,14.2,16.8,22.9,29.9,33.2,35.3,38.1
"20–29 years",1579,20.9,0.33,9.9,11.4,12.5,14.3,19.4,26,31.2,33.4,37
"30–39 years",1623,23.6,0.35,10.4,12.4,14.1,16.2,22.3,31,34.6,36.4,38.9
"40–49 years",1237,25.3,0.35,12,14.3,16.6,19.5,25.3,31.2,34.1,35.8,38.8
"50–59 years",929,26.7,0.4,14.1,16.4,18.3,20.6,26.7,32.1,35.2,37,39.8
"60–69 years",1090,24.2,0.37,12.4,14.5,15.9,18.2,24.1,29.7,32.9,34.9,37.8
"70–79 years",902,22.3,0.39,11,12.5,14,16.4,21.8,27.7,30.6,32.1,35.8
"80 years and older",705,18.6,0.42,7.6,9.3,11.1,13.1,18.1,23.3,26.4,28.9,31.7
