"Cause of death (female, all ages)",Number,"Percent of total deaths","Death rate"
"All causes",1381015,100,829
"Diseases of heart",301280,21.8,180.9
"Malignant neoplasms",283725,20.5,170.3
"Cerebrovascular diseases",85658,6.2,51.4
"Alzheimer disease",83516,6,50.1
"Chronic lower respiratory diseases",83255,6,50
"Accidents (unintentional injuries)",60320,4.4,36.2
"Diabetes mellitus",38135,2.8,22.9
"Influenza and pneumonia",25139,1.8,15.1
"Nephritis, nephrotic syndrome and nephrosis",24896,1.8,14.9
"Essential hypertension and hypertensive renal disease",19911,1.4,12
"All other causes",375180,27.2,225.2
