"Cause of death (both sexes, all ages)",Number,"Percent of total deaths","Death rate"
"All causes",2854838,100,869.7
"Diseases of heart",659041,23.1,200.8
"Malignant neoplasms",599601,21,182.7
"Accidents (unintentional injuries)",173040,6.1,52.7
"Chronic lower respiratory diseases",156979,5.5,47.8
"Cerebrovascular diseases",150005,5.3,45.7
"Alzheimer disease",121499,4.3,37
"Diabetes mellitus",87647,3.1,26.7
"Nephritis, nephrotic syndrome and nephrosis",51565,1.8,15.7
"Influenza and pneumonia",49783,1.7,15.2
"Intentional self-harm (suicide)",47511,1.7,14.5
"All other causes",758167,26.6,231
