"Systolic blood pressure (mm. Hg) ",Total,"Under 40","40-49 ",50-59,60-69,70-79,80-89,90-99,"100 and over",
Total,100,0.1,1.1,12.1,32.2,37.4,14.6,2.2,0.3,
"Under 80",0.4,,0.1,,0.3,,,,,
80-89,1.8,0.1,0.2,0.8,0.7,,,,,
90-99,13.1,0,0.4,3.9,6.3,2.3,0.2,,,
100-109,24,,0.1,3.8,10.1,8.7,1.3,,,
110-119,27.5,,0.3,1.9,8.1,12.7,4.4,0.1,,
120-129,21.4,,,1.2,5,8.7,5.8,0.7,,
130-139,9.4,,,0.4,1.5,4.1,2.4,0.9,0.1,
140-149,1.7,,,0.1,0.1,0.8,0.3,0.4,,
150-159,0.3,,,,0.1,0.1,,0.1,0,
"160 and over",0.4,,,,,,0.2,0,0.2,
