"Systolic blood pressure (mm. Hg) ",Total,"Under 50",50-59,60-69,70-79,80-89,90-99,100-109,"110 and over",
Total,100,1.1,7.5,27.7,37.9,21.9,3.1,0.5,0.3,
"Under 90",0.9,0.2,0.3,0.4,0,,,,,
90-99,8.8,0.5,2,5.1,1.2,,,,,
100-109,19.6,0.2,2.3,8.5,7.5,1,0.1,,,
110-119,31.2,0.2,1.9,8.2,14,6.5,0.4,,,
120-129,25.7,,0.7,4.5,11.8,8.1,0.6,0,,
130-139,9.5,,0.2,0.6,3,4.7,0.9,,0.1,
140-149,2.8,,,0.2,0.3,1.4,0.6,0.2,0.1,
150-159,1,,0.1,0.2,,0.2,0.3,0.2,0,
160-169,0.1,,,,,,0.1,0,0,
"170 and over",0.4,,,,0.1,,0.1,0.1,0.1,
