"Intent and mechanism","Percent distribution"
"All injury-related visits",100
"Unintentional injuries",66.1
Falls,22.6
"Motor vehicle traffic",9.7
"Struck against or struck accidentally by objects or persons",7.7
"Overexertion and strenuous movements",5.4
"Cutting or piercing instruments or objects",5.3
"Natural and environmental factors",3.9
"Foreign body",1.6
Poisoning,1.2
"Motor vehicle, nontraffic, and other",1.1
"Fire and flames, hot substances or object, caustic or corrosive, and steam",1.1
"Caught accidentally in or between objects",0.9
"Pedal cycle, nontraffic",0.8
Machinery,0.7
"Other transportation",0.5
"Other mechanism2",3
"Mechanism unspecified",0.5
"Intentional injuries",5.1
Assault,3.7
"Unarmed fight or brawl, striking by blunt or thrown object",2
"Cutting or piercing instrument",*0.2
"Other and unspecified mechanism3",1.5
Self-inflicted,1.2
"Poisoning by solid or liquid substances, gases, and vapors",0.7
"Other and unspecified mechanism4",0.5
"Other causes of violence",0.2
"Injuries of undetermined intent",0.7
"Adverse effects of medical treatment",4.3
"Medical and surgical complications",2.5
"Adverse drug effects",1.8
"Alcohol and drug use5",4.5
Unknown6,19.3
