"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",89798,100,200
"Malignant neoplasms",16520,18.4,36.8
"Accidents (unintentional injuries)",15413,17.2,34.3
"Diseases of heart",13181,14.7,29.4
"Intentional self-harm (suicide)",6562,7.3,14.6
"Human immunodeficiency virus (HIV) disease.",5919,6.6,13.2
"Chronic liver disease and cirrhosis",3371,3.8,7.5
"Assault (homicide)",3219,3.6,7.2
"Cerebrovascular diseases",2599,2.9,5.8
"Diabetes mellitus",1926,2.1,4.3
"Influenza and pneumonia",1068,1.2,2.4
"All other causes",20020,22.3,44.6
