"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",57297,100,256.9
"Accidents (unintentional injuries)",11444,20,51.3
"Diseases of heart",9286,16.2,41.6
"Malignant neoplasms",7344,12.8,32.9
"Intentional self-harm (suicide)",5114,8.9,22.9
"Human immunodeficiency virus (HIV) disease",4441,7.8,19.9
"Assault (homicide)",2319,4,10.4
"Chronic liver disease and cirrhosis",2314,4,10.4
"Cerebrovascular diseases",1297,2.3,5.8
"Diabetes mellitus",1151,2,5.2
"Influenza and pneumonia",630,1.1,2.8
"All other causes",11957,20.9,53.6
