"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",4979,100,32.9
"Accidents (unintentional injuries)",1826,36.7,12.1
"Congenital malformations, deformations and chromosomal abnormalities",495,9.9,3.3
"Malignant neoplasms",420,8.4,2.8
"Assault (homicide)",356,7.2,2.3
"Diseases of heart",181,3.6,1.2
"Influenza and pneumonia",103,2.1,0.7
Septicemia,99,2,0.7
"Certain conditions originating in the perinatal period",79,1.6,0.5
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior.",53,1.1,0.3
"Chronic lower respiratory diseases",51,1,0.3
"All other causes",1316,26.4,8.7
