"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",2155,100,29.1
"Accidents (unintentional injuries)",728,33.8,9.8
"Congenital malformations, deformations and chromosomal abnormalities",236,11,3.2
"Malignant neoplasms",187,8.7,2.5
"Assault (homicide)",158,7.3,2.1
"Diseases of heart",74,3.4,1
"Influenza and pneumonia",49,2.3,0.7
Septicemia,46,2.1,0.6
"Cerebrovascular diseases",28,1.3,0.4
"Certain conditions originating in the perinatal period",27,1.3,0.4
"Chronic lower respiratory diseases",23,1.1,0.3
"All other causes",599,27.8,8.1
