"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",340219,100,6854.7
"Diseases of heart",109693,32.2,2210.1
"Malignant neoplasms",85907,25.3,1730.9
"Cerebrovascular diseases",23946,7,482.5
"Chronic lower respiratory diseases",23838,7,480.3
"Influenza and pneumonia",9751,2.9,196.5
"Diabetes mellitus",9738,2.9,196.2
"Alzheimer’s disease.",6228,1.8,125.5
"Nephritis, nephrotic syndrome and nephrosis",6213,1.8,125.2
"Accidents (unintentional injuries)",6063,1.8,122.2
"Parkinson’s disease",4530,1.3,91.3
"All other causes",54312,16,1094.3
