"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",700445,100,5688.4
"Diseases of heart",220060,31.4,1787.1
"Malignant neoplasms",165099,23.6,1340.8
"Cerebrovascular diseases",57020,8.1,463.1
"Chronic lower respiratory diseases",47722,6.8,387.6
"Diabetes mellitus",22184,3.2,180.2
"Influenza and pneumonia",19821,2.8,161
"Alzheimer’s disease",17253,2.5,140.1
"Nephritis, nephrotic syndrome and nephrosis",12458,1.8,101.2
"Accidents (unintentional injuries)",11758,1.7,95.5
Septicemia,9938,1.4,80.7
"All other causes",117132,16.7,951.2
