Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,3427,32.6,3002
"2–11 months",1620,567,20.3,321
"1–2 years",2310,1983,28.9,1865
"3–5 years",2941,2594,47,2381
"6–11 years",3134,3164,66.7,2885
"12–15 years",1599,3727,111.3,3210
"16–19 years",1522,4036,97.3,3568
"20–29 years",3400,3963,58,3440
"30–39 years",3238,3854,67.8,3362
"40–49 years",2503,3591,72.7,3237
"50–59 years",1799,3351,78.4,3000
"60–69 years",2208,3029,62.4,2752
"70–79 years",1678,2775,49.1,2555
"80 years and over",1153,2541,52.7,2370
