Age,"Sample size",Mean,"Standard error",Median
"All ages",13923,4027,46.2,3554
"2–11 months",815,601,27.9,333
"1–2 years",1171,2075,38.3,1949
"3–5 years",1424,2699,62.2,2522
"6–11 years",1581,3378,114.1,3049
"12–15 years",751,4240,157.9,3566
"16–19 years",711,4904,137.6,4669
"20–29 years",1587,4751,92,4312
"30–39 years",1424,4614,101.4,4162
"40–49 years",1188,4255,97.9,3942
"50–59 years",820,4058,143.4,3658
"60–69 years",1111,3591,105.6,3332
"70–79 years",783,3275,75.5,3010
"80 years and over",557,2908,63.9,2734
