| Age   | Sample size |
| ----- | ----------- |
| 2     | 548         |
| 3     | 584         |
| 4     | 530         |
| 5     | 556         |
| 6     | 272         |
| 7     | 275         |
| 8     | 245         |
| 9     | 278         |
| 10    | 261         |
| 11    | 275         |
| 12    | 237         |
| 13    | 219         |
| 14    | 218         |
| 15    | 196         |
| 16    | 217         |
| 17    | 215         |
| 18    | 190         |
| 19    | 192         |
| 20+   | 8598        |
| 20–29 | 1837        |
| 30–39 | 1837        |
| 40–49 | 1338        |
| 50–59 | 981         |
| 60–69 | 1107        |
| 70–79 | 894         |
| 80+   | 604         |
