| Stature | 3rd   | 5th   | 10th  | 25th  | 50th  | 75th  | 90th  | 95th  | 97th  |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- | ----- |
| 77–78   | 8.2   | 8.2   | 10.75 | 10.75 | 10.75 | 11.79 | 11.79 | 11.79 | 11.79 |
| 79–80   | 9.53  | 9.53  | 9.53  | 9.75  | 10.09 | 10.5  | 11    | 11    | 11    |
| 81–82   | 9.95  | 10.09 | 10.1  | 10.55 | 10.9  | 11.75 | 12.7  | 12.81 | 15.35 |
| 83–84   | 9.75  | 9.75  | 10.32 | 10.9  | 11.45 | 12.2  | 12.59 | 13.25 | 13.85 |
| 85–86   | 10.4  | 10.55 | 10.77 | 11.25 | 12.02 | 12.59 | 13.04 | 13.2  | 13.61 |
| 87–88   | 10.6  | 10.8  | 11.23 | 11.68 | 12.36 | 12.93 | 13.61 | 13.85 | 14.63 |
| 89–90   | 11.34 | 11.57 | 11.79 | 12.2  | 12.81 | 13.61 | 14.63 | 15.08 | 15.1  |
| 91–92   | 11.65 | 11.9  | 12.25 | 12.81 | 13.38 | 13.95 | 14.8  | 15.54 | 16.1  |
| 93–94   | 12.02 | 12.4  | 12.7  | 13.27 | 13.83 | 14.66 | 15.4  | 15.76 | 16.4  |
| 95–96   | 12.47 | 12.7  | 13.15 | 13.83 | 14.45 | 15.31 | 16.3  | 17.15 | 17.35 |
| 97–98   | 12.93 | 13.04 | 13.4  | 14    | 14.86 | 15.76 | 16.56 | 17.12 | 17.46 |
| 99–100  | 13.38 | 13.55 | 14.06 | 14.7  | 15.55 | 16.55 | 17.58 | 18.48 | 19.3  |
| 101–102 | 13.95 | 14.06 | 14.4  | 15.1  | 16.05 | 17.01 | 18.26 | 19.1  | 19.8  |
| 103–104 | 14.29 | 14.55 | 15.05 | 15.76 | 16.67 | 17.69 | 18.82 | 19.39 | 20.5  |
| 105–106 | 15.1  | 15.5  | 15.76 | 16.33 | 17.12 | 18.25 | 19.39 | 20.65 | 20.87 |
| 107–108 | 15.31 | 15.54 | 16.33 | 17.12 | 18.15 | 19.05 | 20.07 | 20.35 | 21.43 |
| 109–110 | 16.1  | 16.33 | 16.78 | 17.35 | 18.26 | 19.7  | 20.75 | 21.6  | 22.45 |
| 111–112 | 16.33 | 16.44 | 17.12 | 17.8  | 19.3  | 20.3  | 21.89 | 23.1  | 25.05 |
| 113–114 | 17.01 | 17.01 | 17.69 | 18.71 | 19.84 | 21.43 | 24.15 | 25.8  | 25.86 |
| 115–116 | 17.69 | 18.03 | 18.37 | 19.28 | 20.53 | 22.45 | 27.1  | 28.3  | 29.25 |
| 117–118 | 18.6  | 19.05 | 19.28 | 19.84 | 21.32 | 22.68 | 24.15 | 24.83 | 26.76 |
| 119–120 | 19.39 | 19.62 | 19.96 | 20.75 | 21.77 | 23.81 | 26.88 | 28.1  | 28.58 |
