"Cause of death","All ages","Under 1 year",1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,"85 and over"
"All causes",869.7,553,23.3,13.4,69.7,128.8,199.2,392.4,883.3,1764.6,4308.3,13228.6
"Enterocolitis due to Clostridium difficile",1.4,*,*,*,*,*,0.1,0.3,1,3,8.7,23.5
Septicemia,11.7,3.5,0.3,0.2,0.3,0.8,1.9,5.3,13.4,28,64.5,150.2
"Viral hepatitis",1.3,*,*,*,*,0.1,0.4,1.5,4.1,3.9,2.2,2
"Human immunodeficiency virus (HIV) disease",1.5,*,*,*,0.1,1.1,1.7,3,3.6,2.4,1.4,0.6
"Malignant neoplasms",182.7,1.5,1.8,1.9,3.3,7.8,25.7,87.1,263.3,543.3,1005.9,1571
"Malignant neoplasms of lip, oral cavity and pharynx",3.2,*,*,*,*,0.1,0.4,2,6.4,10,13.9,20.5
"Malignant neoplasm of esophagus",4.9,*,*,*,*,0.1,0.6,2.7,9,16.5,24.1,25.7
"Malignant neoplasm of stomach",3.4,*,*,*,0,0.3,1,2.5,4.9,9.3,16.9,27.4
"Malignant neoplasms of colon, rectum and anus",16.1,*,*,*,0.1,0.7,3.4,12,24.4,41.5,77.9,158.4
"Malignant neoplasms of liver and intrahepatic bile ducts",8.5,*,*,*,0.1,0.2,0.8,3.6,16.8,30.4,38.8,46.2
"Malignant neoplasm of pancreas",14,*,*,*,*,0.1,1.1,6,21.3,45.8,79.4,102.1
"Malignant neoplasms of trachea, bronchus and lung",42.6,*,*,*,0.1,0.2,1.9,13.6,64.8,144.3,260.9,281.3
"Malignant melanoma of skin",2.5,*,*,*,*,0.2,0.7,1.5,3.5,6.6,12.9,22.1
"Malignant neoplasm of breast",13,*,*,*,*,0.9,4.6,11.3,21.1,33.6,55.2,112.1
"Malignant neoplasm of cervix uteri",1.3,*,*,*,*,0.4,1.3,2.1,2.4,2.6,2.9,3.8
"Malignant neoplasm of ovary",4.1,*,*,*,*,0.2,0.7,2.6,6.7,12.5,21.2,27
"Malignant neoplasm of prostate",9.6,*,*,*,*,*,0.1,0.9,6.9,24.1,65.7,154.8
"Malignant neoplasms of kidney and renal pelvis",4.3,*,*,0.1,0.1,0.1,0.5,2.2,6.2,12.9,23,36.8
"Malignant neoplasm of bladder",5.1,*,*,*,*,*,0.2,0.9,4.2,12,33.4,82.4
"Malignant neoplasms of meninges, brain and other parts of central nervous system",5.3,*,0.4,0.7,0.5,0.9,1.9,4.3,9.4,15.9,20.6,20.9
"Non-Hodgkin lymphoma",6.2,*,*,*,0.2,0.3,0.8,2.1,6,15.9,41,71.8
"Multiple myeloma and immunoproliferative neoplasms",3.9,*,*,*,*,*,0.2,1.2,4.2,11.5,26.9,40.1
Leukemia,7.1,*,0.6,0.5,0.7,0.8,1.3,2.4,6.3,17.6,44.4,81.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",4.7,1.1,0.3,0.2,0.2,0.2,0.5,1.3,3.5,9.8,30,77.6
Anemias,1.6,*,0.2,0.1,0.1,0.3,0.5,0.6,1.1,2.7,7.6,30.1
"Diabetes mellitus",26.7,*,*,0.1,0.6,1.9,5.3,15.5,36.5,73.3,138.9,259.5
"Nutritional deficiencies",3.5,*,*,*,*,0,0.2,0.5,1.6,4.4,17.4,97
Obesity,2.6,*,*,*,0.2,0.9,2.2,3.8,5.4,6,6,3.9
"Parkinson disease",10.8,*,*,*,*,*,*,0.2,1.9,16.8,93.3,215.9
"Alzheimer disease",37,*,*,*,*,*,*,0.3,3,24.9,210.2,1191.3
"Major cardiovascular diseases",265,10.2,1.2,0.7,2.6,9.6,31.9,95.2,237.5,502.1,1339.3,5125.5
"Diseases of heart",200.8,7.1,0.8,0.4,2,7.6,25.2,76.2,190.4,388.8,991.2,3798.3
"Essential hypertension and hypertensive renal disease",11.1,*,*,*,*,0.3,1.2,3.6,9.8,20.9,54.3,227.1
"Cerebrovascular diseases",45.7,2.7,0.3,0.2,0.4,1.3,4.2,12.6,30.5,76.4,254.2,977.3
Atherosclerosis,1.3,*,*,*,*,*,*,0.2,0.8,2.1,6.7,33.7
"Aortic aneurysm and dissection",3,*,*,*,0.1,0.3,1,1.6,3.3,7,16.6,36.5
"Influenza and pneumonia",15.2,4.1,0.8,0.3,0.4,1,2.3,5.1,12.5,27.3,77.2,294.7
"Chronic lower respiratory diseases",47.8,*,0.2,0.4,0.4,0.8,1.6,8.8,44.2,124.6,318,654.3
"Pneumonitis due to solids and liquids",5.8,*,*,*,0.1,0.2,0.5,1.3,3.7,9.7,31.7,130
"Chronic liver disease and cirrhosis",13.5,*,*,*,0.1,2.4,8.2,19.8,33.9,33.1,32.2,26.5
"Alcoholic liver disease",7.3,*,*,*,0.1,2,6.4,13.8,20.7,14.4,7.9,3.4
"Cholelithiasis and other disorders of gallbladder",1.2,*,*,*,*,*,0.1,0.3,0.9,2.2,6.6,23.6
"Nephritis, nephrotic syndrome and nephrosis",15.7,1.6,*,*,0.2,0.7,1.8,5.6,13.8,34.7,92.2,250.9
"Pregnancy, childbirth and the puerperium",0.3,…,…,*,0.4,1.2,1,*,*,*,*,*
"Certain conditions originating in the perinatal period",3.2,272.1,0.4,0.1,*,*,*,*,*,*,*,*
"Congenital malformations, deformations and chromosomal abnormalities",3,113.7,2.6,0.9,0.9,0.9,1,1.7,3,2.1,2.6,5.1
"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",9.9,64.8,1.4,0.3,1.2,2.5,3.3,4.4,8,13.3,34.9,175.6
"Accidents (unintentional injuries)",52.7,33.5,7.3,3.6,27.5,53.4,57.8,57.1,58.6,54.5,115.5,377.4
"Motor vehicle accidents",11.9,2,2.3,2.1,14.1,14.8,13,12.9,13.7,13.1,18.5,21.4
Falls,12,*,0.1,0.1,0.4,0.7,1.3,3,6.9,17.1,66.2,276.4
"Accidental discharge of firearms",0.1,*,0.2,0.1,0.3,0.2,0.1,0.2,0.1,0.1,0.2,*
"Accidental drowning and submersion",1.1,0.9,2.4,0.6,1,1,1,1.1,1.2,1.3,1.7,1.6
"Accidental hanging, strangulation, and suffocation",2.2,28.9,0.9,0.1,0.3,0.4,0.5,1,2,3.6,8.1,24.1
"Accidental exposure to smoke, fire and flames",0.8,*,0.5,0.3,0.2,0.3,0.5,0.7,1.3,2,2.5,3.2
"Accidental poisoning and exposure to noxious substances",20,*,0.2,0.1,10.2,33.9,38.6,34.5,27.9,9.7,3,3
"Intentional self-harm (suicide)",14.5,…,…,1.3,13.9,17.5,18.1,19.6,19.4,15.5,18.6,20.1
"Intentional self-harm (suicide) by poisoning",1.9,…,…,0.1,1.1,1.6,2.3,3.4,3.3,2.2,2.1,1.9
"Intentional self-harm (suicide) by hanging, strangulation and suffocation",4.1,…,…,0.8,5,6.8,6.7,5.6,4.3,2.2,1.5,1.5
"Intentional self-harm (suicide) by discharge of firearms",7.3,…,…,0.4,6.6,7.6,7.7,8.8,10,9.9,14.1,15.4
"Assault (homicide)",5.8,7,1.8,0.8,11.2,11.6,8.3,5,3.7,2.2,1.7,1.6
"Assault (homicide) by discharge of firearms",4.4,*,0.3,0.5,10.2,9.8,6.4,3.3,1.9,1,0.7,0.5
"Legal intervention",0.2,*,*,*,0.2,0.5,0.4,0.3,0.1,*,*,*
"Complications of medical and surgical care",1.6,0.8,0.2,0.1,0.1,0.2,0.5,1,2.1,4.5,8.1,13.2
"Dementia-related causes",82.8,*,*,0.1,*,0.1,0.1,0.9,8.2,59.3,448.6,2688.9
"Drug-induced deaths",22.7,1.3,0.3,0.2,11.5,36.9,42.3,38.9,32.7,12.6,5.2,4.6
"Drug overdose deaths",21.5,1.3,0.3,0.2,11.2,35.6,40.5,36.9,30.4,11.3,4.2,3.6
"Alcohol-induced deaths",11.9,*,*,*,0.4,4.2,11.1,22,32.5,22.5,12.6,6.4
"Injury by firearms",12.1,*,0.5,1,17.4,18.1,14.6,12.7,12.3,11.1,15,16.1
