"Cause of death","All ages","Under 1 year",1–4,5–14,15–24,25–34,35–44,45–54,55–64,65–74,75–84,"85 and over"
"All causes",2854838,20921,3676,5497,29771,59178,82986,160393,374937,555559,688027,873746
"Enterocolitis due to Clostridium difficile",4533,3,2,–,2,18,48,134,442,948,1384,1552
Septicemia,38431,133,53,63,113,381,812,2176,5672,8810,10298,9919
"Viral hepatitis",4285,–,–,1,7,44,177,623,1726,1228,345,134
"Human immunodeficiency virus (HIV) disease",5044,1,1,1,55,486,694,1232,1543,767,223,39
"Malignant neoplasms",599601,55,285,775,1388,3577,10695,35587,111765,171062,160639,103761
"Malignant neoplasms of lip, oral cavity and pharynx",10492,–,–,1,15,54,182,825,2708,3138,2217,1352
"Malignant neoplasm of esophagus",15962,–,–,–,6,49,233,1122,3808,5192,3852,1699
"Malignant neoplasm of stomach",11092,–,–,1,20,125,430,1021,2068,2920,2696,1811
"Malignant neoplasms of colon, rectum and anus",52986,–,–,1,37,324,1428,4887,10351,13050,12444,10464
"Malignant neoplasms of liver and intrahepatic bile ducts",27959,4,15,9,35,112,319,1488,7152,9570,6203,3051
"Malignant neoplasm of pancreas",45886,–,1,–,7,53,479,2448,9047,14423,12684,6743
"Malignant neoplasms of trachea, bronchus and lung",139682,2,2,4,22,106,771,5579,27511,45445,41661,18577
"Malignant melanoma of skin",8092,–,3,3,14,113,295,607,1470,2063,2067,1457
"Malignant neoplasm of breast",42748,–,–,–,11,433,1916,4627,8976,10568,8810,7406
"Malignant neoplasm of cervix uteri",4152,–,–,–,8,183,550,846,1018,828,468,251
"Malignant neoplasm of ovary",13445,–,–,1,18,88,297,1063,2862,3945,3389,1782
"Malignant neoplasm of prostate",31638,–,1,–,3,2,23,385,2922,7590,10487,10223
"Malignant neoplasms of kidney and renal pelvis",14021,–,12,23,27,62,196,879,2645,4068,3679,2430
"Malignant neoplasm of bladder",16796,–,–,1,1,15,76,373,1785,3773,5331,5441
"Malignant neoplasms of meninges, brain and other parts of central nervous system",17233,17,70,294,232,416,794,1743,3998,5001,3286,1381
"Non-Hodgkin lymphoma",20270,–,5,18,97,151,319,848,2556,4991,6540,4745
"Multiple myeloma and immunoproliferative neoplasms",12954,–,–,1,1,6,97,482,1793,3629,4297,2648
Leukemia,23170,13,90,189,296,361,536,996,2692,5545,7087,5365
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",15590,42,49,66,66,112,227,533,1475,3099,4793,5128
Anemias,5254,11,24,29,54,126,209,250,485,859,1221,1985
"Diabetes mellitus",87647,–,2,26,248,887,2228,6348,15508,23069,22185,17143
"Nutritional deficiencies",11570,13,4,3,10,22,72,202,662,1396,2778,6408
Obesity,8379,–,–,9,84,425,909,1548,2310,1883,952,259
"Parkinson disease",35311,–,–,–,–,2,10,70,794,5276,14902,14257
"Alzheimer disease",121499,–,–,–,–,2,10,116,1281,7836,33566,78688
"Major cardiovascular diseases",869883,387,187,275,1097,4401,13282,38903,100807,158086,213880,338535
"Diseases of heart",659041,268,133,178,872,3495,10499,31138,80837,122421,158287,250875
"Essential hypertension and hypertensive renal disease",36524,1,1,–,19,125,496,1485,4143,6583,8670,15001
"Cerebrovascular diseases",150005,102,52,85,158,585,1741,5153,12931,24051,40592,64550
Atherosclerosis,4417,2,1,2,–,6,16,83,340,666,1076,2225
"Aortic aneurysm and dissection",9904,1,–,6,28,121,398,670,1399,2215,2658,2408
"Influenza and pneumonia",49783,156,122,123,175,464,951,2085,5305,8603,12332,19464
"Chronic lower respiratory diseases",156979,12,37,150,168,367,659,3592,18743,39238,50791,43217
"Pneumonitis due to solids and liquids",19184,8,4,10,33,110,210,535,1580,3042,5064,8588
"Chronic liver disease and cirrhosis",44358,–,–,3,33,1112,3417,8098,14385,10411,5144,1751
"Alcoholic liver disease",24110,–,–,–,25,938,2653,5661,8805,4536,1266,222
"Cholelithiasis and other disorders of gallbladder",3850,–,–,1,2,16,51,117,368,685,1051,1559
"Nephritis, nephrotic syndrome and nephrosis",51565,61,5,12,68,302,761,2269,5857,10938,14720,16572
"Pregnancy, childbirth and the puerperium",1103,…,…,2,150,532,398,15,4,–,–,1
"Certain conditions originating in the perinatal period",10412,10294,57,30,12,5,3,3,2,5,–,1
"Congenital malformations, deformations and chromosomal abnormalities",9713,4301,416,381,390,396,434,707,1282,653,417,336
