Age,"25-34 years"
"All causes",108.1
"Diseases of heart",7.9
"Malignant neoplasms",10.5
"Cerebrovascular diseases",1.6
"Chronic lower respiratory diseases",0.8
"Accidents (unintentional injuries))",31.4
"Diabetes mellitus",1.7
"Influenza and pneumonia",1
"Alzheimer’s disease",*
"Nephritis,0.2
Septicemia,0.7
"Intentional self-harm (suicide)",12.8
"Chronic liver disease and cirrhosis",1.1
"Essential (primary) hypertension and hypertensive renal disease",0.2
"Assault (homicide)",11.1
"Pneumonitis due to solids and liquids",0.2
