Age,"35-44 years"
"All causes",200
"Diseases of heart",29.4
"Malignant neoplasms",36.8
"Cerebrovascular diseases",5.8
"Chronic lower respiratory diseases",2.1
"Accidents (unintentional injuries))",34.3
"Diabetes mellitus",4.3
"Influenza and pneumonia",2.4
"Alzheimer’s disease",*
"Nephritis, nephrotic syndrome and nephrosis",1.6
Septicemia,2
"Intentional self-harm (suicide)",14.6
"Chronic liver disease and cirrhosis",7.5
"Essential (primary) hypertension and hypertensive renal disease",0.8
"Assault (homicide)",7.2
"Pneumonitis due to solids and liquids",0.4
