Age,"65-74 years"
"All causes",2428.6
"Diseases of heart",673.8
"Malignant neoplasms",826.4
"Cerebrovascular diseases",130.2
"Chronic lower respiratory diseases",171.5
"Accidents (unintentional injuries))",42.4
"Diabetes mellitus",91.8
"Influenza and pneumonia",39.6
"Alzheimer’s disease",18.9
"Nephritis,12.9
Septicemia,31.4
"Intentional self-harm (suicide)",12.6
"Chronic liver disease and cirrhosis",30.2
"Essential (primary) hypertension and hypertensive renal disease",15.3
"Assault (homicide)",2.4
"Pneumonitis due to solids and liquids",10.5
