Age,"Under 1 year"
"All causes",728.7
"Diseases of heart",12.8
"Malignant neoplasms",2.4
"Cerebrovascular diseases",3.2
"Chronic lower respiratory diseases",0.9
"Accidents (unintentional injuries))",22.9
"Diabetes mellitus",*
"Influenza and pneumonia",7.5
"Alzheimer’s disease",*
"Nephritis, nephrotic syndrome and nephrosis",4.2
Septicemia,7.1
"Intentional self-harm (suicide)",...
"Chronic liver disease and cirrhosis",*
"Essential (primary) hypertension and hypertensive renal disease",*
"Assault (homicide)",9.1
"Pneumonitis due to solids and liquids",*
