"Cause of death","Rate (per 100000)"
"All causes",250.7
"Sudden infant death syndrome",67.6
"Congenital malformations, deformations and chromosomal abnormalities",38.6
"Accidents (unintentional injuries)",21.7
"Diseases of the circulatory system",10.2
"Assault (homicide)",9
"Influenza and pneumonia",7.1
Septicemia,6.7
"Chronic respiratory disease originating in the perinatal period",6.5
"Gastritis, duodenitis, and noninfective enteritis and colitis",5.5
"Malignant neoplasms",2.3
"Respiratory distress of newborn",2.3
"All other causes",73.1
