"Cause of death","Percent of total deaths"
"All causes",100
"Accidents (unintentional injuries)",42.8
"Malignant neoplasms",15
"Congenital malformations, deformations and chromosomal abnormalities",6.1
"Assault (homicide)",4.3
"Diseases of heart",3.3
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior.",1.9
"Chronic lower respiratory diseases",1.5
"Influenza and pneumonia",1.4
Septicemia,1.2
"Cerebrovascular diseases",0.8
"Certain conditions originating in the perinatal period",0.8
"All other causes",21
