"Cause of death (females, 10–14 years)","Death rate (per 100000)"
"All causes",12.5
"Accidents (unintentional injuries)",2.6
"Intentional self-harm (suicide)",2
"Malignant neoplasms",1.8
"Congenital malformations, deformations and chromosomal abnormalities",0.8
"Assault (homicide)",0.5
"Diseases of heart",0.4
"Influenza and pneumonia",0.4
"Chronic lower respiratory diseases",0.3
"Cerebrovascular diseases",0.2
"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",*
"All other causes",3.2
