"Therapeutic drug category","Number of occurrences in thousands","Standard error in thousands"
"All occurrences",3032619,138669
Analgesics,353057,18682
"Antihyperlipidemic agents",134452,9235
Antidepressants,120578,6498
"Anxiolytics, sedatives, and hypnotics",103031,6053
"Antidiabetic agents",92853,6401
"Beta-adrenergic blocking agents",87765,6442
Bronchodilators,83083,6169
"Antiplatelet agents",82537,6339
Anticonvulsants,80130,5006
Antihistamines,77432,5106
"Dermatological agents",75101,4733
Diuretics,73450,5272
"Proton pump inhibitors",73392,4592
"Angiotensin converting enzyme inhibitors",68635,4276
"Antiemetic/antivertigo agents",65698,3639
"Viral vaccines",59319,6024
"Adrenal cortical steroids",54386,3533
"Ophthalmic preparations",50271,7970
"Minerals and electrolytes",46550,3210
Penicillins,45658,3009
