"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",443429,100,14768.6
"Diseases of heart",172346,38.9,5740.1
"Cerebrovascular diseases",49164,11.1,1637.4
"Malignant neoplasms",43876,9.9,1461.3
"Alzheimer’s disease.",21903,4.9,729.5
"Influenza and pneumonia",20602,4.6,686.2
"Chronic lower respiratory diseases",15620,3.5,520.2
"Diabetes mellitus",9322,2.1,310.5
"Accidents (unintentional injuries)",7182,1.6,239.2
"Nephritis, nephrotic syndrome and nephrosis",7106,1.6,236.7
Septicemia,6408,1.4,213.4
"All other causes",89900,20.3,2994.2
