| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.33           |
| 3     | 0.33           |
| 4     | 0.36           |
| 5     | 0.41           |
| 6     | 0.61           |
| 7     | 0.67           |
| 8     | 0.7            |
| 9     | 0.7            |
| 10    | 0.74           |
| 11    | 0.75           |
| 12    | 0.88           |
| 13    | 0.83           |
| 14    | 0.83           |
| 15    | 0.7            |
| 16    | 0.74           |
| 17    | 0.78           |
| 18    | 0.88           |
| 19    | 0.81           |
| 20+   | 0.15           |
| 20–29 | 0.26           |
| 30–39 | 0.26           |
| 40–49 | 0.28           |
| 50–59 | 0.32           |
| 60–69 | 0.3            |
| 70–79 | 0.34           |
| 80+   | 0.39           |
