| Age   | Standard error |
| ----- | -------------- |
| 2     | 0.27           |
| 3     | 0.32           |
| 4     | 0.33           |
| 5     | 0.38           |
| 6     | 0.65           |
| 7     | 0.68           |
| 8     | 0.6            |
| 9     | 0.65           |
| 10    | 0.83           |
| 11    | 0.76           |
| 12    | 0.89           |
| 13    | 1.06           |
| 14    | 0.91           |
| 15    | 0.99           |
| 16    | 0.92           |
| 17    | 1.03           |
| 18    | 0.99           |
| 19    | 0.69           |
| 20+   | 0.16           |
| 20–29 | 0.27           |
| 30–39 | 0.28           |
| 40–49 | 0.3            |
| 50–59 | 0.34           |
| 60–69 | 0.3            |
| 70–79 | 0.33           |
| 80+   | 0.4            |
