| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.6            |
| 2–11 months       | 0.6            |
| 1–2 years         | 0.9            |
| 3–5 years         | 1.3            |
| 6–11 years        | 1.2            |
| 12–15 years       | 3              |
| 16–19 years       | 2.5            |
| 20–29 years       | 1.5            |
| 30–39 years       | 1.8            |
| 40–49 years       | 1.8            |
| 50–59 years       | 1.8            |
| 60–69 years       | 1.5            |
| 70–79 years       | 1.2            |
| 80 years and over | 1.2            |
