"Cause of death (both sexes, Postneonates)",Number,"Percent of total deaths","Death rate"
"All causes",7120,100,190
"Congenital malformations, deformations and chromosomal abnormalities",1254,17.6,33.5
"Accidents (unintentional injuries)",1125,15.8,30
"Sudden infant death syndrome",1110,15.6,29.6
"Diseases of the circulatory system",326,4.6,8.7
"Assault (homicide)",247,3.5,6.6
"Diarrhea and gastroenteritis of infectious origin",180,2.5,4.8
"Influenza and pneumonia",156,2.2,4.2
"Chronic respiratory disease originating in the perinatal period",148,2.1,3.9
Septicemia,131,1.8,3.5
"Disorders related to short gestation and low birth weight, not elsewhere classified",71,1,1.9
"All other causes",2372,33.3,63.3
