"Cause of death (female, Postneonates)",Number,"Percent of total deaths","Death rate"
"All causes",3130,100,171
"Congenital malformations, deformations and chromosomal abnormalities",626,20,34.2
"Sudden infant death syndrome",465,14.9,25.4
"Accidents (unintentional injuries)",451,14.4,24.6
"Diseases of the circulatory system",149,4.8,8.1
"Assault (homicide)",99,3.2,5.4
"Diarrhea and gastroenteritis of infectious origin",83,2.7,4.5
"Influenza and pneumonia",65,2.1,3.6
Septicemia,64,2,3.5
"Chronic respiratory disease originating in the perinatal period",62,2,3.4
"Disorders related to short gestation and low birth weight, not elsewhere classified",34,1.1,1.9
"All other causes",1032,33,56.4
