"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",13563,100,68.2
"Accidents (unintentional injuries)",6755,49.8,34
"Assault (homicide)",1914,14.1,9.6
"Intentional self-harm (suicide)",1621,12,8.2
"Malignant neoplasms",745,5.5,3.7
"Diseases of heart",403,3,2
"Congenital malformations, deformations and chromosomal abnormalities",225,1.7,1.1
"Chronic lower respiratory diseases",86,0.6,0.4
"Cerebrovascular diseases",67,0.5,0.3
"Influenza and pneumonia",65,0.5,0.3
"Diabetes mellitus",48,0.4,0.2
"All other causes",1634,12,8.2
