"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",18776,100,462.6
"Disorders related to short gestation and low birth weight, not elsewhere classified",4318,23,106.4
"Congenital malformations, deformations and chromosomal abnormalities",4144,22.1,102.1
"Newborn affected by maternal complications of pregnancy",1394,7.4,34.3
"Newborn affected by complications of placenta, cord and membranes",1049,5.6,25.8
"Respiratory distress of newborn",929,4.9,22.9
"Bacterial sepsis of newborn",737,3.9,18.2
"Intrauterine hypoxia and birth asphyxia",589,3.1,14.5
"Neonatal hemorrhage",563,3,13.9
Atelectasis,483,2.6,11.9
"Necrotizing enterocolitis of newborn",313,1.7,7.7
"All other causes",4257,22.7,104.9
