"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",40451,100,108.1
"Accidents (unintentional injuries)",11769,29.1,31.4
"Intentional self-harm (suicide)",4792,11.8,12.8
"Assault (homicide)",4164,10.3,11.1
"Malignant neoplasms",3916,9.7,10.5
"Diseases of heart",2958,7.3,7.9
"Human immunodeficiency virus (HIV) disease.",2437,6,6.5
"Diabetes mellitus",623,1.5,1.7
"Cerebrovascular diseases",602,1.5,1.6
"Congenital malformations, deformations and chromosomal abnormalities",477,1.2,1.3
"Chronic liver disease and cirrhosis",415,1,1.1
"All other causes",8298,20.5,22.2
