"Cause of death",Number,"Percent of total deaths","Rate (per 100000)"
"All causes",9259,100,228.1
"Sudden infant death syndrome",2319,25,57.1
"Congenital malformations, deformations and chromosomal abnormalities",1599,17.3,39.4
"Accidents (unintentional injuries)",787,8.5,19.4
"Diseases of the circulatory system",411,4.4,10.1
"Assault (homicide)",309,3.3,7.6
Septicemia,274,3,6.8
"Influenza and pneumonia",261,2.8,6.4
"Chronic respiratory disease originating in the perinatal period",243,2.6,6
"Gastritis, duodenitis, and noninfective enteritis and colitis",219,2.4,5.4
"Malignant neoplasms",82,0.9,2
"All other causes",2755,29.8,67.9
