Diseases,Number,"Percent of total deaths","Rate (per 100000)"
"All diseases",551611,100,5519
Infectious,107704,19.5,1077.6
"Respiratory system",83672,15.2,837.2
"Nervous system",64189,11.6,642.2
"Consumption (Tuberculosis)",53626,9.7,536.5
"Accidents and injuries",43414,7.9,434.4
"Circulatory system",40804,7.4,408.3
"Digestive system",31457,5.7,314.7
"Genitourinary system",27869,5.1,278.8
Cancer,11436,2.1,114.4
"Bones and joints",1717,0.3,17.2
Skin,1204,0.2,12
"Absorbent system",385,0.1,3.9
"Other causes",84134,15.3,841.8
