Age,"Sample size",Mean,"Standard error",Median
"All ages",29105,10.4,0.09,8.8
"2–11 months",1620,2.8,0.07,2.3
"1–2 years",2310,5.8,0.11,5.1
"3–5 years",2941,7.1,0.15,6.2
"6–11 years",3134,8.7,0.24,7.5
"12–15 years",1599,9.2,0.27,7.6
"16–19 years",1522,9.8,0.3,7.9
"20–29 years",3400,10.7,0.17,8.9
"30–39 years",3238,11.4,0.2,9.8
"40–49 years",2503,11.2,0.22,9.7
"50–59 years",1799,11.6,0.22,10.4
"60–69 years",2208,11.6,0.23,9.9
"70–79 years",1678,11.3,0.23,9.6
"80 years and over",1153,10.5,0.25,9.3
